Id,Label,timeset,popularity,followers,genres
0Zt1X6eSDuttQS3JHIyCvZ,Manolo Escobar,,43,27673,spanish pop
7hJx1Efq7sE8FEFmakLYed,Miguel De Molina,,26,2699,
1b9xcNjNh6OGSqBxWXNI5F,Silvio Rodrigues,,7,9072,cantautor;nueva cancion;trova
440MEFxEmF9othCXbz3Y6a,Victor Jara,,47,108879,andean;cantautor;chilean indie;chilean rock;latin rock;nueva cancion;trova
76sZcEL2ZXBTqNeFJAhlup,Quilapayún,,40,40424,andean;chilean rock;nueva cancion;trova
4cCVNFShP38zaKGuo8QSMN,Inti-Illimani,,50,91172,andean;chilean rock;latin rock;nueva cancion;trova
0t8lKcdJV0dEicuocOteOw,Los Chalchaleros,,50,47012,chamame;folklore argentino;nueva cancion
0K59Fm1y7s3j498ueS4qzY,Soledad,,55,73637,folklore argentino
6iqeypk1XRa2zQVRcIVmlF,Liliana Herrero,,37,9747,folklore argentino;nueva cancion
7exkSLWDTlXJYcmBhWp9cl,Horacio Guarany,,45,34929,chamame;folklore argentino;nueva cancion
2zzdcDYrrZE11oQ4xo2Ufr,Amancio Prada,,29,5757,cantautor;spanish folk
53gngrNkCMQim2Fg4qbHZm,Raimon,,27,6348,cantautor;catalan folk;rock catala
4yWf6Lx41cLsu8fGa7GoIm,José Antonio Labordeta,,12,1929,cantautor
4VtMHmnigTKtWyQR71len2,Marina Rossell,,32,4699,cantautor;catalan folk;rock catala
03ukvtQJzZmG7CEOmnkoMW,Rosa Leon,,20,2119,cantautor
41BaIYCli96MF2wqqOutBR,Maria del Mar Bonet,,28,6451,cantautor;catalan folk;rock catala
0oIls1SE66gDuk4BZObFaN,Albert Pla,,39,24775,cantautor;rock catala
5LjY0Un1TpGNpHkpyDPYuh,Gerardo Pablo,,28,2654,cantautor;trova
6ms3D0kJqKLA6VOXG2z17J,Edel Juárez,,32,10263,cantautor;nueva cancion;trova
3C6Jn2YYPlZoe7pBPQl845,Raúl Ornelas,,55,72218,cantautor;latin;latin pop;trova
7kHYN5cAfz6eZoXlkrmjzR,Lazcano Malo,,39,12736,trova
3jf2OEqXYB7QlHxcWNb6aa,Virulo,,25,4340,cantautor;nueva cancion;trova
7eRMCw9qXrH9eimfezI4Jb,"Abel Velásquez ""El Mago""",,32,4161,trova
4MKny2jNcr8bDjPM3bAlPl,Rodrigo Rojas,,33,7524,rock cristiano;trova
1VksQOAs5gGHqrcmI4Obw6,Carlos Carreira,,42,13235,cantautor;nueva cancion;trova
6BoD6RlEPXtsku4JA9rrdb,Miguel Inzunza,,40,13086,cantautor;trova
6d7LEKCmi5168sop16K9oI,Orquesta Mondragon,,37,14177,cantautor;spanish new wave;spanish pop
2Ax9wZpdlg4r2zkc3pcI8U,La Unión,,56,111244,cantautor;latin alternative;latin rock;rock en espanol;spanish new wave;spanish pop
4qKJA8Cf8R44cMThP6q8KM,Radio Futura,,53,90687,cantautor;rock en espanol;spanish new wave;spanish pop
1CdLG4i1rTEOsex2UE0jCH,Nacha Pop,,56,89322,cantautor;rock en espanol;spanish new wave;spanish pop
1MK9J20Op7jFgUDbLiy6m2,Danza Invisible,,43,32044,rock en espanol;spanish new wave;spanish pop
21gW1NJCe2sHZ485DBDNlb,Jaime Urrutia,,39,14693,cantautor;rock en espanol;spanish new wave;spanish pop
2jMYTBTCSNYaCYy54mLc6I,El Último De La Fila,,47,83147,cantautor;rock en espanol;spanish new wave;spanish pop
2MLHBMApNE5h8wIufiTPs7,Duncan Dhu,,58,185941,cantautor;rock en espanol;spanish new wave;spanish pop
1OTnb625gMBm5NsLYAdUEm,Los Ronaldos,,46,28547,cantautor;rock en espanol;spanish new wave;spanish pop
112QHbB1xApqwVJR6n20xy,Gabinete Caligari,,43,31292,cantautor;rock en espanol;spanish new wave;spanish pop
5nhDsJ4yNy8BD4LbGMsb1v,Burning,,42,22156,cantautor;rock en espanol;spanish new wave;spanish pop;spanish punk
45NmCZDtKwIIVLpl2c3csx,Jairo,,38,9635,folklore argentino;nueva cancion
34wPpdJXRno0eRFI5IAOYh,Sandra Mihanovich,,37,16208,
6q9n20PmMRLtZc1xCgq0r3,Silvina Garre,,32,6124,
3tkyefEX4NNjb0AILRLq2A,Roberto Goyeneche,,43,25751,argentine rock;nueva cancion;tango;vintage tango
3am230IKMj7sJk7sG6q9I3,Ezequiel Breganni,,10,38,
3lwRbCTt1qmo0QgXUai8ao,Cacho Castaña,,46,48141,argentine rock
7Cg2eqV6oHNE0P54WfajIX,Julio Sosa,,41,25558,tango;vintage tango
